node_id_from	node_id_to	length
316008852	316008884	16.615160
175859672	175859674	16.617512
315856339	315856346	16.620012
242350107	242350108	16.621595
174568244	1153032858	16.622529
242970741	242970742	16.622948
314704653	314705089	16.626569
175834127	175834364	16.628439
242350145	242350147	16.628619
177084277	1304382045	16.628925
315260760	315260767	16.629997
315268635	315268638	16.634261
175837153	175837160	16.634519
175837115	175837124	16.638216
175834311	175834335	16.639122
130736538	130736542	16.642595
315882734	315882826	16.643188
315882678	315882746	16.648270
96789333	96789339	16.649091
315844685	315844937	16.651087
130738501	130738563	16.651904
177083887	177083920	16.652159
314704821	314704976	16.652713
177083509	177083592	16.656604
315844777	315844797	16.657879
315898332	315898382	16.659110
245018982	245019024	16.664453
242970212	242970272	16.666373
242935878	242935888	16.666893
243256342	243256355	16.667487
175837035	175837044	16.667582
177084470	177084555	16.668679
177084197	177084219	16.668899
105573527	105573607	16.670372
130737025	130737037	16.673286
242922531	242922532	16.676510
242960533	242960564	16.676988
130737282	130737365	16.677845
315882669	315882736	16.679401
242199332	242199336	16.680153
243254249	243254253	16.685939
130736283	130736358	16.687719
242908747	242908778	16.689913
243390140	243390403	16.692763
130737267	130737271	16.696519
175859295	175859636	16.697759
242908750	242908782	16.699327
315256852	315256856	16.701541
177083881	177083916	16.706895
314704640	314704734	16.707150
174744068	174744069	16.707269
